Address,Allocation %
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.013539294
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.03775941
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.014151186
0x0d5f75c45086c9e660F89D78bBF1f8Ac4C069666,0.019834717
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.002319192
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.010577323
0x3255f62BbD1317ed1590228f287be8D602d78443,0.01029969
0x3927204BE1f649Ab8115e40e92Bd99Cd6703FdE4,0.014030081
0x5abDC0eC7d0b7d312703ef3b9932C5abA4c9Ac24,0.027442435
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.05395889
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.344766896
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.015153289
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.00875692
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.014200342
0x487e4f8abE2C1A55982924c16cB7abCA67ce4bE8,0.011992876
0x75814a71EeaC19A03a6894A46bAf3FB2176e7F5D,0.008242561
0xf161e787d901E004b714A852B9E5Ad97026E0985,0.008242561
0xE827f72eaB1186F286f5c64f590Df221490f02AB,0.008242561
0x8d4744127F48F2dc4FbF78aDB1B71906Ffe9c83f,0.008242561
0xF15Cc14f16f0456e43fF12B84cE3328466C4C2F7,0.013563488
0x21caDed0E50b60646af532E37D3124cF2669752B,0.131471534
0x21caDed0E50b60646af532E37D3124cF2669752B,0.131471534
0x21caDed0E50b60646af532E37D3124cF2669752B,0.13186817
0x21caDed0E50b60646af532E37D3124cF2669752B,0.126777084
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076563
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076563
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076556
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076556
0x21caDed0E50b60646af532E37D3124cF2669752B,0.128808958
0x21caDed0E50b60646af532E37D3124cF2669752B,0.128808956
0x21caDed0E50b60646af532E37D3124cF2669752B,0.029906927
0x8fe6627F70f97D4ac19A1fA55133Bb48075e4fE3,0.013601381
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.013647976
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.156993881
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.236766527
0x6032F347dAC7eAff74B972e8aCeEBF23145d9C94,0.001996396
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.008350246
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.002127992
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.004147229
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.005145086
0xB406F29C62b94A717B2714A4982E307e828FFaFa,0.000775299
0xc247eDe48635c5762ca6037180F4Bc0A29FE6226,0.000647997
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.001679041
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.027346195
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.054569804
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.00095404
0x738dd7b22960dBE359ce10727906CD7AaF71020B,0.396692084
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.000945041
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.026992958
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.027257334
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.161183646
0xC7410f107D4b7172c7D7AC333784bd6F3Daebc78,0.028065126
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.211446368
0x2cf16c1aE965d1431E90e6997e9839b379Ae1514,0.026673551
0x30F89f5f4cF25f457B4D9cBFb64a64A97F00bED0,0.001205744
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.029962232
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.029490167
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.028729261
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.022119629
0x6C6418d85470512D0B79Ad5b7Fdcc6ddEFFE1835,0.027163136
0xdBF47B0e9db63702D2e696DE19eF954F411b513C,0.002374128
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.059247271
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.000133169
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.043766753
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.032773135
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.017670845
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.013803011
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.000706786
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,0.003812577
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.004559906
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.000454149
0x6e868846b2182235C16FD122FCD44739E55A58e4,0.017278526
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.596792395
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.831481058
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.979221467
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.532323046
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.195976751
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.000741888
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.062014917
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.119763161
0x91d73E9E176c7F8e13CC36ce9532eF4754567157,0.044525436
0x738dd7b22960dBE359ce10727906CD7AaF71020B,0.402509402
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.031211582
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.069214096
0x6AE40034641bC651333235E1F55c33c5B986eF47,0.031420273
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.04150394
0x98A61aD2f3a2624C52Cef30Af0A853575FDfC1F6,0.028518015
0xC7410f107D4b7172c7D7AC333784bd6F3Daebc78,0.032841847
0xE35e430526c39f5c18Bf3471f3e1a97F2b65C5b0,0.263914072
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.031606532
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.031702658
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.031538171
0xFDa16932cd56B9dCaB6877df96c3A6bbc6CB33c0,0.018840086
0x91eAd047182594839a12DC1907D2eEAB7Aa14C63,0.002850734
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,0.00040908
0xFDa16932cd56B9dCaB6877df96c3A6bbc6CB33c0,0.00318657
